meanRMSD	sdRMSD	meanCI	meanSpearman	sdSpearman	minSpearman	drug	Kpatient	Kdrug
X17.AAG..Tanespimycin.	38.5046155690524	4.10704661851474	0	0.580281225988218	0.0933433722206526	0.397466063348416	X17.AAG..Tanespimycin.	KrnarestrictRbf8	Kempirical
A.674563	46.6538364594096	3.60386758528476	0	0.314004856901638	0.119935636453353	0.127209083923845	A.674563	KrnarestrictRbf8	Kempirical
ABT.737	55.5615752607246	6.48698613206572	0	0.222485928705441	0.122436453580381	-0.0271777003484321	ABT.737	KrnarestrictRbf8	Kempirical
AT7519	37.8569352501136	5.11150985381641	0	0.274512004801921	0.0912623347870875	0.141800720288115	AT7519	KrnarestrictRbf8	Kempirical
AZD1480	40.7639256035939	6.44913813283366	0	0.294889131436568	0.13028614140274	0.0708597285067873	AZD1480	KrnarestrictRbf8	Kempirical
Afatinib..BIBW.2992.	40.6707016670292	7.0855725832337	0	0.140002049005379	0.138689716698077	-0.00964740032442585	Afatinib..BIBW.2992.	KrnarestrictRbf8	Kempirical
Alisertib..MLN8237.	37.1797537921964	6.58918824147078	0	0.278966191942234	0.130342382292995	0.0259540681294288	Alisertib..MLN8237.	KrnarestrictRbf8	Kempirical
Axitinib..AG.013736.	40.7694486449795	4.22171716193639	0	0.44498517629096	0.123512234550493	0.221997751093322	Axitinib..AG.013736.	KrnarestrictRbf8	Kempirical
BEZ235	52.6484540824624	4.01639312301877	0	0.25332316626933	0.109764660747872	0.0671493212669683	BEZ235	KrnarestrictRbf8	Kempirical
BI.2536	41.7722223714449	8.98606729632889	0	0.158613445378151	0.258507680126437	-0.117857142857143	BI.2536	KrnarestrictRbf8	Kempirical
BMS.345541	31.1135000784055	4.02144771764653	0	0.104802697857082	0.132050732427917	-0.0637752924101426	BMS.345541	KrnarestrictRbf8	Kempirical
Barasertib..AZD1152.HQPA.	40.3091067433217	6.39971296461281	0	0.39379185520362	0.210859776841291	-0.0335746606334842	Barasertib..AZD1152.HQPA.	KrnarestrictRbf8	Kempirical
Bay.11.7085	36.0039418962227	6.59279712953605	0	0.438021269050362	0.119255963954548	0.310946145450538	Bay.11.7085	KrnarestrictRbf8	Kempirical
Bortezomib..Velcade.	55.1345667583769	6.15015667815344	0	0.259481323074555	0.125428565470764	0.0642021685306924	Bortezomib..Velcade.	KrnarestrictRbf8	Kempirical
Bosutinib..SKI.606.	42.701349705816	5.88782088428931	0	0.400217949995223	0.111518510271034	0.23324511226842	Bosutinib..SKI.606.	KrnarestrictRbf8	Kempirical
CHIR.99021	34.847092507011	7.31266903061979	0	0.0713457636931562	0.139001989751338	-0.130609547319292	CHIR.99021	KrnarestrictRbf8	Kempirical
CI.1040..PD184352.	45.0064987748388	5.1701629497397	0	0.449461282335866	0.0780771188549438	0.379151370272347	CI.1040..PD184352.	KrnarestrictRbf8	Kempirical
CYT387	42.1318225732388	3.27027986413525	0	0.352021856057372	0.108456904705559	0.11420814479638	CYT387	KrnarestrictRbf8	Kempirical
Cabozantinib	43.9043301539795	6.50250855572681	0	0.55025612567233	0.109221494517903	0.316923076923077	Cabozantinib	KrnarestrictRbf8	Kempirical
Canertinib..CI.1033.	35.8523265838989	4.45742959160639	0	0.437716383505507	0.0947252155586525	0.319547511312217	Canertinib..CI.1033.	KrnarestrictRbf8	Kempirical
Cediranib..AZD2171.	34.5940027876318	6.21802286448813	0	0.421037500448188	0.088037456623006	0.28517764930238	Cediranib..AZD2171.	KrnarestrictRbf8	Kempirical
Crenolanib	40.2489034320468	4.68484288768498	0	0.510077938867855	0.0958468247383546	0.337013574660633	Crenolanib	KrnarestrictRbf8	Kempirical
Crizotinib..PF.2341066.	36.800897374184	3.98519170040264	0	0.261766917293233	0.137227394300903	0.125108225108225	Crizotinib..PF.2341066.	KrnarestrictRbf8	Kempirical
DBZ	45.2871019185586	8.87382085237379	0	0.105101214574899	0.166537285803238	-0.207287449392713	DBZ	KrnarestrictRbf8	Kempirical
Dasatinib	52.8319428149751	3.6558318755828	0	0.493655449975683	0.103128465113331	0.366883116883117	Dasatinib	KrnarestrictRbf8	Kempirical
Doramapimod..BIRB.796.	52.2929585194421	2.85984193596613	0	0.404192179302775	0.0982162604765696	0.270226244343891	Doramapimod..BIRB.796.	KrnarestrictRbf8	Kempirical
Dovitinib..CHIR.258.	43.7908001092625	2.90743775645853	0	0.570946469734483	0.0588986415233334	0.509321266968326	Dovitinib..CHIR.258.	KrnarestrictRbf8	Kempirical
Elesclomol	47.1888544995665	7.05782415971252	0	0.526061824729892	0.100247356142722	0.365666266506603	Elesclomol	KrnarestrictRbf8	Kempirical
Entospletinib..GS.9973.	39.588618941742	3.65078048021624	0	0.486824980850941	0.122694712525655	0.265850945494994	Entospletinib..GS.9973.	KrnarestrictRbf8	Kempirical
Entrectinib	38.8807647504047	7.04285859154274	0	0.306363636363636	0.30766307164911	-0.209090909090909	Entrectinib	KrnarestrictRbf8	Kempirical
Erlotinib	30.1402094377805	3.21745554879537	0	0.42982076403129	0.104545618767241	0.293233082706767	Erlotinib	KrnarestrictRbf8	Kempirical
Flavopiridol	52.0983525339912	4.53044560971164	0	0.392196165578547	0.102220431456282	0.176881829950926	Flavopiridol	KrnarestrictRbf8	Kempirical
Foretinib..XL880.	43.6554127026826	4.55604052042507	0	0.562217194570136	0.076431103535327	0.432398190045249	Foretinib..XL880.	KrnarestrictRbf8	Kempirical
GDC.0879	32.1159682714335	5.94781880879545	0	0.0741179841547129	0.12128811718348	-0.167280191282403	GDC.0879	KrnarestrictRbf8	Kempirical
GDC.0941	41.9482655312759	6.63656691471106	0	0.338183418603334	0.157803687778202	0.11968085106383	GDC.0941	KrnarestrictRbf8	Kempirical
GSK.1838705A	37.8142261244694	5.19308639802504	0	0.332295755568372	0.11887100489912	0.0772850678733032	GSK.1838705A	KrnarestrictRbf8	Kempirical
GSK.1904529A	37.0911464679227	4.15776733098209	0	0.167991680217839	0.0966765473141778	0.0512217194570136	GSK.1904529A	KrnarestrictRbf8	Kempirical
GSK690693	38.2807567951103	5.29952914910008	0	0.22182811548241	0.108864704406264	-0.0509502262443439	GSK690693	KrnarestrictRbf8	Kempirical
GW.2580	36.4583917784271	2.03195604900273	0	0.394806769339622	0.118973443425978	0.253577897477856	GW.2580	KrnarestrictRbf8	Kempirical
Gefitinib	31.4024753074644	5.11093131854806	0	0.336674966036556	0.163451558684277	0.0728715728715729	Gefitinib	KrnarestrictRbf8	Kempirical
Gilteritinib..ASP.2215.	47.2774850657691	6.86869385098604	0	0.450522303783173	0.0788243349803284	0.29983060417843	Gilteritinib..ASP.2215.	KrnarestrictRbf8	Kempirical
Go6976	38.340610544597	7.59956571860366	0	0.437902097902098	0.182090466132191	0.209090909090909	Go6976	KrnarestrictRbf8	Kempirical
INK.128	49.4605571008269	7.87575418730715	0	0.340262955690259	0.161779430532742	0.11508580210023	INK.128	KrnarestrictRbf8	Kempirical
Ibrutinib..PCI.32765.	41.2648250552658	3.87172669701837	0	0.493801563178463	0.095117763679945	0.371797655232306	Ibrutinib..PCI.32765.	KrnarestrictRbf8	Kempirical
Idelalisib	46.6687203050139	6.73587897255197	0	0.302563025210084	0.150153365553971	-0.00705882352941176	Idelalisib	KrnarestrictRbf8	Kempirical
Imatinib	38.6297249178354	2.56458829882335	0	0.295906847037601	0.0961404483847989	0.145644283121597	Imatinib	KrnarestrictRbf8	Kempirical
JAK.Inhibitor.I	45.0405261778991	4.16250776168192	0	0.303160932297447	0.0861152491747391	0.13899086485102	JAK.Inhibitor.I	KrnarestrictRbf8	Kempirical
JNJ.28312141	53.48688678461	4.73711010266347	0	0.44878031212485	0.118885919412055	0.253205282112845	JNJ.28312141	KrnarestrictRbf8	Kempirical
JNJ.38877605	32.1663069307637	4.65082070924315	0	0.228823529411765	0.183268857311025	0.0718859387005891	JNJ.38877605	KrnarestrictRbf8	Kempirical
JNJ.7706621	30.4074885686283	2.40259237570638	0	0.208365823349175	0.117010070382916	0.0495887760038703	JNJ.7706621	KrnarestrictRbf8	Kempirical
JQ1	39.874520727777	4.37259360056482	0	0.437065637065637	0.268575758834122	-0.0290862290862291	JQ1	KrnarestrictRbf8	Kempirical
KI20227	54.870531731784	6.13353214325718	0	0.306051483450408	0.0848413097863242	0.228325791855204	KI20227	KrnarestrictRbf8	Kempirical
KU.55933	39.1137706601678	4.16810944353298	0	0.34313994433701	0.146661121953741	0.0713843461544128	KU.55933	KrnarestrictRbf8	Kempirical
KW.2449	44.0732696983833	6.06134890078304	0	0.560752763651686	0.107062418860369	0.403981900452489	KW.2449	KrnarestrictRbf8	Kempirical
LY.333531	28.1131139045236	2.08317951397575	0	0.536117514252919	0.0910313560110431	0.412447707675233	LY.333531	KrnarestrictRbf8	Kempirical
Lapatinib	32.5956452791452	3.40812804440053	0	0.352210787116447	0.0771891362353335	0.234229083285687	Lapatinib	KrnarestrictRbf8	Kempirical
Lenalidomide	46.6290054203465	13.3402207585005	0	0.474860695577823	0.231189342928908	-0.0456942709194532	Lenalidomide	KrnarestrictRbf8	Kempirical
Lenvatinib	37.1168922109156	4.69442892369644	0	0.519930350518586	0.0668900922645861	0.42156862745098	Lenvatinib	KrnarestrictRbf8	Kempirical
Lestaurtinib..CEP.701.	42.4183345119289	6.71513689441167	0	0.369160839160839	0.200563875483461	0.0727272727272727	Lestaurtinib..CEP.701.	KrnarestrictRbf8	Kempirical
Linifanib..ABT.869.	48.7087077730862	4.49641832797985	0	0.450891898116636	0.13964347660906	0.204644412191582	Linifanib..ABT.869.	KrnarestrictRbf8	Kempirical
Lovastatin	50.5665630066001	11.1763347002923	0	0.041398996701399	0.201594205500102	-0.335173775391036	Lovastatin	KrnarestrictRbf8	Kempirical
MGCD.265	43.4695496125588	4.51575486198792	0	0.497761196786407	0.112013660565124	0.242064825930372	MGCD.265	KrnarestrictRbf8	Kempirical
MK.2206	54.813517251212	4.50721787234647	0	0.294314814327351	0.147657445332228	0.146153846153846	MK.2206	KrnarestrictRbf8	Kempirical
MLN120B	42.5070350536932	5.8149976428126	0	0.177411978534193	0.110789380276134	0.0257869336673047	MLN120B	KrnarestrictRbf8	Kempirical
MLN8054	32.1538899522325	3.64164559395126	0	0.155398833767092	0.199773291017366	-0.163454355333812	MLN8054	KrnarestrictRbf8	Kempirical
Masitinib..AB.1010.	46.812740542814	5.28640875994998	0	0.243889555822329	0.105386378123309	0.111740696278511	Masitinib..AB.1010.	KrnarestrictRbf8	Kempirical
Midostaurin	44.1782733868525	5.11916649639887	0	0.477509465324591	0.117808718357718	0.266425339366516	Midostaurin	KrnarestrictRbf8	Kempirical
Motesanib..AMG.706.	42.9987674125433	4.88750510019624	0	0.452781747710688	0.102245722165085	0.222453621707406	Motesanib..AMG.706.	KrnarestrictRbf8	Kempirical
NF.kB.Activation.Inhibitor	48.4041940822304	2.56841727501752	0	0.39730518464281	0.102299551527034	0.28552036199095	NF.kB.Activation.Inhibitor	KrnarestrictRbf8	Kempirical
NVP.ADW742	37.0707209345311	6.91627918559143	0	0.386857682422569	0.110246868248312	0.178914027149321	NVP.ADW742	KrnarestrictRbf8	Kempirical
NVP.TAE684	40.1401589622985	5.33251804887693	0	0.493648471823715	0.132187302221877	0.23639855942377	NVP.TAE684	KrnarestrictRbf8	Kempirical
Neratinib..HKI.272.	45.3167459481291	4.01230429718986	0	0.333233159737044	0.124013986724187	0.13839323828225	Neratinib..HKI.272.	KrnarestrictRbf8	Kempirical
Nilotinib	33.5168921042949	2.68119490188607	0	0.455577101556973	0.120466494125172	0.231654786629868	Nilotinib	KrnarestrictRbf8	Kempirical
Nutlin.3a	26.4728170808793	8.541745962251	0	0.390808683673421	0.116810272951335	0.181833375749752	Nutlin.3a	KrnarestrictRbf8	Kempirical
PD173955	56.1571612922642	7.08495786336698	0	0.316982176293923	0.117794880350691	0.091951078973369	PD173955	KrnarestrictRbf8	Kempirical
PHA.665752	38.5440173704806	4.30299289854486	0	0.359158308302292	0.169039009569137	0.0531233738455838	PHA.665752	KrnarestrictRbf8	Kempirical
PHT.427	34.0861663217661	6.85432882832659	0	0.169793430129934	0.150876700906562	0.0274492675644868	PHT.427	KrnarestrictRbf8	Kempirical
PI.103	46.7644007412784	5.01766554323047	0	0.285471356612311	0.135410408902915	0.0790950226244344	PI.103	KrnarestrictRbf8	Kempirical
PLX.4720	33.3864992338019	3.98478197680792	0	0.281258741258741	0.220010763148623	-0.0454545454545455	PLX.4720	KrnarestrictRbf8	Kempirical
PP242	46.5021996180519	6.03865632035308	0	0.35384751984974	0.115451218415687	0.081447963800905	PP242	KrnarestrictRbf8	Kempirical
PRT062607	38.0538130721946	5.8774919998717	0	0.422938713754125	0.0825967981251416	0.284434389140271	PRT062607	KrnarestrictRbf8	Kempirical
Palbociclib	31.3040648007419	5.46485970278329	0	0.498205128205128	0.172045075840245	0.16	Palbociclib	KrnarestrictRbf8	Kempirical
Panobinostat	56.0348809382842	8.84499365594541	0	0.486681941865318	0.155454562009739	0.252307692307692	Panobinostat	KrnarestrictRbf8	Kempirical
Pazopanib..GW786034.	40.1178763205807	3.13164612683128	0	0.400305822443217	0.124056273010058	0.149062049062049	Pazopanib..GW786034.	KrnarestrictRbf8	Kempirical
Pelitinib..EKB.569.	38.496680789107	3.2879058859878	0	0.433310168189191	0.0933615633807218	0.272941176470588	Pelitinib..EKB.569.	KrnarestrictRbf8	Kempirical
Ponatinib..AP24534.	46.0679015448642	4.88959256691793	0	0.468617262870315	0.126425157380962	0.235927601809955	Ponatinib..AP24534.	KrnarestrictRbf8	Kempirical
Quizartinib..AC220.	42.7103874338224	3.08956105074911	0	0.549776710684274	0.0746670813455276	0.406962785114046	Quizartinib..AC220.	KrnarestrictRbf8	Kempirical
RAF265..CHIR.265.	42.4213190712623	2.94687241211663	0	0.344070551297442	0.128728020606161	0.12499399759904	RAF265..CHIR.265.	KrnarestrictRbf8	Kempirical
Rapamycin	48.3369608329991	3.52280540660032	0	0.486919265221152	0.0948828064955908	0.348427672955975	Rapamycin	KrnarestrictRbf8	Kempirical
Regorafenib..BAY.73.4506.	32.4215899908861	3.58862399086883	0	0.525968411167079	0.136846097272992	0.358063689917186	Regorafenib..BAY.73.4506.	KrnarestrictRbf8	Kempirical
Roscovitine..CYC.202.	35.7140360898637	8.53128415739499	0	0.381874707923857	0.0767930916806829	0.221634081789465	Roscovitine..CYC.202.	KrnarestrictRbf8	Kempirical
Ruxolitinib..INCB018424.	34.7780821327305	5.33679762564247	0	0.260531797817171	0.0825618736383856	0.172893636385554	Ruxolitinib..INCB018424.	KrnarestrictRbf8	Kempirical
