meanRMSD	sdRMSD	meanCI	meanSpearman	sdSpearman	minSpearman	drug	Kpatient	Kdrug
X17.AAG..Tanespimycin.	38.0105726356314	4.15598674769273	0	0.587843934090327	0.0927563373353876	0.406606334841629	X17.AAG..Tanespimycin.	KrnarestrictMean510	Kempirical
A.674563	47.0889363983218	3.32759822333016	0	0.291846191790698	0.114372779758392	0.120635191667378	A.674563	KrnarestrictMean510	Kempirical
ABT.737	55.4530203021816	6.24853715808631	0	0.20940096488877	0.109884772919251	-0.0142857142857143	ABT.737	KrnarestrictMean510	Kempirical
AT7519	37.3434826837422	5.15494761634649	0	0.313648859543818	0.0788542528674092	0.165330132052821	AT7519	KrnarestrictMean510	Kempirical
AZD1480	40.6739843075755	5.94302962241873	0	0.298532126878746	0.131392044991981	0.0744796380090498	AZD1480	KrnarestrictMean510	Kempirical
Afatinib..BIBW.2992.	40.5192361688764	7.18028716304417	0	0.138748399214548	0.143306200173676	0.00135746606334842	Afatinib..BIBW.2992.	KrnarestrictMean510	Kempirical
Alisertib..MLN8237.	36.7449151505327	6.39416163115592	0	0.275114192930198	0.137612209828311	0.0145137880986938	Alisertib..MLN8237.	KrnarestrictMean510	Kempirical
Axitinib..AG.013736.	40.3090555261624	4.19603371749295	0	0.45311844271201	0.120991433078327	0.246888639050729	Axitinib..AG.013736.	KrnarestrictMean510	Kempirical
BEZ235	52.8136166441873	4.00153038511931	0	0.261490937624013	0.117644557805999	0.0595475113122172	BEZ235	KrnarestrictMean510	Kempirical
BI.2536	41.3149860747445	8.76400723334311	0	0.163109243697479	0.228218982886821	-0.160714285714286	BI.2536	KrnarestrictMean510	Kempirical
BMS.345541	30.9600608823186	4.48119001577699	0	0.0903087168103816	0.141830392269989	-0.066606334841629	BMS.345541	KrnarestrictMean510	Kempirical
Barasertib..AZD1152.HQPA.	40.1005230649987	6.27084410546461	0	0.385882352941176	0.202752142314951	-0.0256108597285068	Barasertib..AZD1152.HQPA.	KrnarestrictMean510	Kempirical
Bay.11.7085	36.1429959253506	6.4511182872481	0	0.438425964386	0.123681311115392	0.266965474427354	Bay.11.7085	KrnarestrictMean510	Kempirical
Bortezomib..Velcade.	55.1492479919114	6.15477141672913	0	0.25352444355675	0.135674333429995	0.0606164091180739	Bortezomib..Velcade.	KrnarestrictMean510	Kempirical
Bosutinib..SKI.606.	42.584091364601	5.75582099261187	0	0.406416385705832	0.118285205978323	0.206864168018441	Bosutinib..SKI.606.	KrnarestrictMean510	Kempirical
CHIR.99021	34.1763292230532	7.35208143054202	0	0.0972490116759284	0.167085896516505	-0.124997364959792	CHIR.99021	KrnarestrictMean510	Kempirical
CI.1040..PD184352.	45.626423625365	4.73422885701843	0	0.447738581063775	0.0707518841178833	0.37257747801588	CI.1040..PD184352.	KrnarestrictMean510	Kempirical
CYT387	42.2596090708947	3.22954711661904	0	0.348746520959618	0.10094575800981	0.11158371040724	CYT387	KrnarestrictMean510	Kempirical
Cabozantinib	44.3019703254686	6.9918346989087	0	0.542345940408093	0.10193553174587	0.312760180995475	Cabozantinib	KrnarestrictMean510	Kempirical
Canertinib..CI.1033.	35.9544671269327	4.8448345210791	0	0.439678818406898	0.0987762898874702	0.313924699052335	Canertinib..CI.1033.	KrnarestrictMean510	Kempirical
Cediranib..AZD2171.	35.0920455852061	5.77619895930575	0	0.401796942644874	0.0796501557770582	0.267752892123929	Cediranib..AZD2171.	KrnarestrictMean510	Kempirical
Crenolanib	40.0722076002438	4.32292378598748	0	0.510722135007849	0.099215251334155	0.342443438914027	Crenolanib	KrnarestrictMean510	Kempirical
Crizotinib..PF.2341066.	36.4527939075543	3.63877736086459	0	0.273408521303258	0.124223928220422	0.11010101010101	Crizotinib..PF.2341066.	KrnarestrictMean510	Kempirical
