meanRMSD	sdRMSD	meanCI	meanSpearman	sdSpearman	minSpearman	drug	Kpatient	Kdrug
X17.AAG..Tanespimycin.	37.7746104095208	3.81331545150837	0	0.583679672159139	0.0890086296532259	0.39131221719457	X17.AAG..Tanespimycin.	KrnarestrictRbf2	Kempirical
A.674563	47.2573073437344	3.65517799693673	0	0.291611409924395	0.119752146006424	0.130197216767694	A.674563	KrnarestrictRbf2	Kempirical
ABT.737	53.68280054491	5.21012704247033	0	0.222463146609488	0.0679885030557539	0.103135888501742	ABT.737	KrnarestrictRbf2	Kempirical
AT7519	36.5894418830333	6.26445423256737	0	0.298301320528211	0.127661016275477	0.0338535414165666	AT7519	KrnarestrictRbf2	Kempirical
AZD1480	40.6083922639314	6.47447814572152	0	0.315240599680517	0.129193977382947	0.115927601809955	AZD1480	KrnarestrictRbf2	Kempirical
Afatinib..BIBW.2992.	39.7197650744343	6.88744542062015	0	0.134655340220268	0.139231838957779	-0.0519935114829676	Afatinib..BIBW.2992.	KrnarestrictRbf2	Kempirical
Alisertib..MLN8237.	37.4338825512163	6.10877818094646	0	0.229791854867593	0.114176102343795	0.0218560573721506	Alisertib..MLN8237.	KrnarestrictRbf2	Kempirical
Axitinib..AG.013736.	39.068337705865	3.35515477932885	0	0.47034990354482	0.130703980132098	0.237244849382699	Axitinib..AG.013736.	KrnarestrictRbf2	Kempirical
BEZ235	50.3577458493795	2.93274998444275	0	0.29231096612995	0.127899887402532	0.0805429864253394	BEZ235	KrnarestrictRbf2	Kempirical
BI.2536	41.3341225396562	8.19730590781277	0	0.184978991596639	0.26454364275825	-0.160714285714286	BI.2536	KrnarestrictRbf2	Kempirical
BMS.345541	29.8372113743986	3.51896431287846	0	0.0589261504311449	0.155065385434507	-0.18262443438914	BMS.345541	KrnarestrictRbf2	Kempirical
Barasertib..AZD1152.HQPA.	38.9705703650673	6.56101768541609	0	0.400886877828054	0.215398598563377	-0.0567420814479638	Barasertib..AZD1152.HQPA.	KrnarestrictRbf2	Kempirical
Bay.11.7085	35.767732848361	7.06787139187314	0	0.445581146539422	0.119791212849901	0.311711711711712	Bay.11.7085	KrnarestrictRbf2	Kempirical
Bortezomib..Velcade.	55.2980208015627	5.58076162566998	0	0.247942568456089	0.129984344518367	0.0984376333987877	Bortezomib..Velcade.	KrnarestrictRbf2	Kempirical
Bosutinib..SKI.606.	42.4933609873789	5.20073155605972	0	0.416945420982573	0.0922660403694496	0.224195338512764	Bosutinib..SKI.606.	KrnarestrictRbf2	Kempirical
CHIR.99021	32.9919506606791	6.90863159286898	0	0.134978271709155	0.126947364845419	-0.0559785370939806	CHIR.99021	KrnarestrictRbf2	Kempirical
CI.1040..PD184352.	45.5477403944991	4.44125887502221	0	0.423081191838129	0.0697849809299011	0.340476393750534	CI.1040..PD184352.	KrnarestrictRbf2	Kempirical
CYT387	42.0364436078788	3.28644872737719	0	0.326145308631435	0.084971555237666	0.157194570135747	CYT387	KrnarestrictRbf2	Kempirical
Cabozantinib	45.1002685052106	7.12591277224385	0	0.538242294886024	0.0738832010406978	0.415656108597285	Cabozantinib	KrnarestrictRbf2	Kempirical
Canertinib..CI.1033.	35.2500350121449	4.49417560828422	0	0.46226278493981	0.0930984486485037	0.333561000597627	Canertinib..CI.1033.	KrnarestrictRbf2	Kempirical
Cediranib..AZD2171.	34.7278270660057	5.90069879601453	0	0.402984917274305	0.118782844510551	0.220457122639564	Cediranib..AZD2171.	KrnarestrictRbf2	Kempirical
