mean_ci	sd_ci	min_ci
GLM_GLM_0_0_0.25_100	0.689617299580491	0.0373004278105824	0.624657534246575
GLM_GLM_0_0_0.5_100	0.698299581921972	0.036528980910039	0.636194029850746
GLM_GLM_0_0_0.75_100	0.696288624544437	0.0366825717863137	0.628997867803838
GLM_GLM_0_0.25_0.25_100	0.689742830918601	0.037402481111885	0.622602739726027
GLM_GLM_0_0.25_0.5_100	0.698934441971292	0.0361497543930369	0.636194029850746
GLM_GLM_0_0.25_0.75_100	0.696264505835566	0.0366620431852934	0.626865671641791
GLM_GLM_0_0.5_0.25_100	0.688235287353984	0.0373936623754601	0.622602739726027
GLM_GLM_0_0.5_0.5_100	0.698544186813942	0.0356517292565443	0.635572139303483
GLM_GLM_0_0.5_0.75_100	0.695942194795002	0.0362269021322533	0.629975124378109
GLM_GLM_0_0.75_0.25_100	0.68849625983597	0.0373615795465111	0.626027397260274
GLM_GLM_0_0.75_0.5_100	0.698211115400863	0.0357462692671282	0.634328358208955
GLM_GLM_0_0.75_0.75_100	0.695963407983103	0.0358769388473543	0.630063965884861
GLM_GLM_0.25_0_0.25_100	0.689685264674144	0.0383370937545546	0.61986301369863
GLM_GLM_0.25_0_0.5_100	0.700374609559135	0.0388659119125132	0.637911464245176
GLM_GLM_0.25_0_0.75_100	0.700170937715958	0.0378541664220709	0.638592750533049
GLM_GLM_0.25_0.25_0.25_100	0.689636679128637	0.0400118210604497	0.60958904109589
GLM_GLM_0.25_0.25_0.5_100	0.700107160154131	0.0381286971206138	0.639125799573561
GLM_GLM_0.25_0.25_0.75_100	0.698495862715173	0.0377863377801726	0.633795309168444
GLM_GLM_0.25_0.5_0.25_100	0.688384125828597	0.040043190052777	0.60958904109589
GLM_GLM_0.25_0.5_0.5_100	0.699719901357788	0.0372397161238781	0.645856980703746
GLM_GLM_0.25_0.5_0.75_100	0.698124417885668	0.0375491652856681	0.635324015247776
GLM_GLM_0.25_0.75_0.25_100	0.687390884465796	0.039954591130516	0.607534246575342
GLM_GLM_0.25_0.75_0.5_100	0.69978814498469	0.0379950229532737	0.645856980703746
GLM_GLM_0.25_0.75_0.75_100	0.698073954824387	0.03751503271146	0.634688691232529
GLM_GLM_0.5_0_0.25_100	0.687582386857068	0.0387165281999054	0.617123287671233
GLM_GLM_0.5_0_0.5_100	0.697050977971721	0.038454765569809	0.631101021566402
GLM_GLM_0.5_0_0.75_100	0.6956482400434	0.0359526491919495	0.63592750533049
GLM_GLM_0.5_0.25_0.25_100	0.687208210081009	0.0404769233006519	0.608219178082192
GLM_GLM_0.5_0.25_0.5_100	0.696613371115326	0.0381990757429165	0.63592750533049
GLM_GLM_0.5_0.25_0.75_100	0.69500900502962	0.0370059643319225	0.634328358208955
GLM_GLM_0.5_0.5_0.25_100	0.686179681279687	0.0399094262403645	0.60958904109589
GLM_GLM_0.5_0.5_0.5_100	0.695804439625629	0.0381958937280233	0.637343927355278
GLM_GLM_0.5_0.5_0.75_100	0.694169599295816	0.0368946819078896	0.634861407249467
GLM_GLM_0.5_0.75_0.25_100	0.684766965582526	0.0399119715806777	0.606164383561644
GLM_GLM_0.5_0.75_0.5_100	0.695793606109221	0.0384404689716772	0.637911464245176
GLM_GLM_0.5_0.75_0.75_100	0.694072926794552	0.0371450559220332	0.634861407249467
GLM_GLM_0.75_0_0.25_100	0.687342961002657	0.03817294206058	0.617808219178082
GLM_GLM_0.75_0_0.5_100	0.695499988727053	0.0388864036684543	0.628263337116913
GLM_GLM_0.75_0_0.75_100	0.693483451887605	0.0369470135408701	0.636208853575482
GLM_GLM_0.75_0.25_0.25_100	0.68701858149024	0.0401287708054047	0.608219178082192
GLM_GLM_0.75_0.25_0.5_100	0.695423347469412	0.0399263528207885	0.634328358208955
GLM_GLM_0.75_0.25_0.75_100	0.692334349967562	0.0372251228761601	0.635324015247776
GLM_GLM_0.75_0.5_0.25_100	0.685724508754747	0.0396990427983624	0.608904109589041
GLM_GLM_0.75_0.5_0.5_100	0.694395133147971	0.0395094030319851	0.632803632236095
GLM_GLM_0.75_0.5_0.75_100	0.691886140758268	0.0362527417797724	0.635641316685585
GLM_GLM_0.75_0.75_0.25_100	0.684472545108676	0.0399879733012093	0.604109589041096
GLM_GLM_0.75_0.75_0.5_100	0.694331102828554	0.039597707931263	0.632803632236095
GLM_GLM_0.75_0.75_0.75_100	0.691711142511438	0.0365968385898534	0.635073779795687
