mean_ci	sd_ci	min_ci
GLM_RF_0_100_5_0.5_100	0.701909810929657	0.0385329546035697	0.638949671772429
GLM_RF_0_100_5_0.75_100	0.698807880119934	0.0383208849669551	0.634246575342466
GLM_RF_0_100_10_0.5_100	0.700737583145173	0.0386881892095496	0.633182844243792
GLM_RF_0_100_10_0.75_100	0.699724516010279	0.03779471947406	0.639954853273138
GLM_RF_0_100_25_0.5_100	0.700358374791208	0.037734986941277	0.63431151241535
GLM_RF_0_100_25_0.75_100	0.6975407625721	0.0360592334672638	0.640547263681592
GLM_RF_0_300_5_0.5_100	0.700663417034139	0.0371285599570489	0.640590809628009
GLM_RF_0_300_5_0.75_100	0.697445775207098	0.0367924758187248	0.637526652452026
GLM_RF_0_300_10_0.5_100	0.699746721595701	0.0378872487288128	0.637133182844244
GLM_RF_0_300_10_0.75_100	0.697769120440616	0.0373304594808974	0.634861407249467
GLM_RF_0_300_25_0.5_100	0.699074253432567	0.0385151155950565	0.634875846501129
GLM_RF_0_300_25_0.75_100	0.696497503907975	0.0362820831279655	0.637526652452026
GLM_RF_0_500_5_0.5_100	0.700642947162757	0.0389785832445574	0.641647855530474
GLM_RF_0_500_5_0.75_100	0.698324644132387	0.0377505005469458	0.638592750533049
GLM_RF_0_500_10_0.5_100	0.700060590049222	0.0385454902732705	0.641677255400254
GLM_RF_0_500_10_0.75_100	0.698347021439643	0.0367776484342076	0.639658848614073
GLM_RF_0_500_25_0.5_100	0.699666537954544	0.0394641200012721	0.633182844243792
GLM_RF_0_500_25_0.75_100	0.696983109960174	0.0376877989765178	0.638059701492537
GLM_RF_0.25_100_5_0.5_100	0.704464253186614	0.0394161637808574	0.642451759364359
GLM_RF_0.25_100_5_0.75_100	0.702763474809628	0.0367949111218651	0.643586833144154
GLM_RF_0.25_100_10_0.5_100	0.704074699370142	0.038848747086739	0.643905191873589
GLM_RF_0.25_100_10_0.75_100	0.702875614100429	0.0361766719599949	0.649301143583227
GLM_RF_0.25_100_25_0.5_100	0.701381117065979	0.0379868898091837	0.643583227445997
GLM_RF_0.25_100_25_0.75_100	0.702281786116583	0.0355137277921642	0.642312579415502
GLM_RF_0.25_300_5_0.5_100	0.701894380302335	0.0383048348091633	0.643586833144154
GLM_RF_0.25_300_5_0.75_100	0.700646824725304	0.0373799968774136	0.638356164383562
GLM_RF_0.25_300_10_0.5_100	0.703394393518376	0.0393870484577824	0.646124523506989
GLM_RF_0.25_300_10_0.75_100	0.702495789300423	0.0361924765900474	0.648127128263337
GLM_RF_0.25_300_25_0.5_100	0.701448331372329	0.0399094109628986	0.643905191873589
GLM_RF_0.25_300_25_0.75_100	0.701381780979402	0.0358915409387347	0.644218551461245
GLM_RF_0.25_500_5_0.5_100	0.703368790215019	0.0402685363569948	0.641316685584563
GLM_RF_0.25_500_5_0.75_100	0.701614542999815	0.037887501921136	0.63972602739726
GLM_RF_0.25_500_10_0.5_100	0.703711373862269	0.0393674486284132	0.647121535181237
GLM_RF_0.25_500_10_0.75_100	0.702080499834768	0.0374384453010621	0.646124523506989
GLM_RF_0.25_500_25_0.5_100	0.701512601767153	0.0409294415702537	0.640519187358916
GLM_RF_0.25_500_25_0.75_100	0.701940314232487	0.0363919225328389	0.642312579415502
GLM_RF_0.75_100_5_0.5_100	0.69824658740421	0.0397243828942248	0.625425652667423
GLM_RF_0.75_100_5_0.75_100	0.69410867124024	0.0364526992234446	0.622020431328036
GLM_RF_0.75_100_10_0.5_100	0.697797249219562	0.0398331422232873	0.631101021566402
GLM_RF_0.75_100_10_0.75_100	0.694185277894252	0.0371099277402369	0.624290578887628
GLM_RF_0.75_100_25_0.5_100	0.696485550688178	0.0380891714068316	0.632932166301969
GLM_RF_0.75_100_25_0.75_100	0.692543256624639	0.0352444577055725	0.633418043202033
GLM_RF_0.75_300_5_0.5_100	0.696686193339543	0.0389010413507982	0.629965947786606
GLM_RF_0.75_300_5_0.75_100	0.691931310864536	0.0366115020458388	0.625425652667423
GLM_RF_0.75_300_10_0.5_100	0.697546256923909	0.0393422235002417	0.633938706015891
GLM_RF_0.75_300_10_0.75_100	0.693883534154437	0.036523145279865	0.633371169125993
GLM_RF_0.75_300_25_0.5_100	0.696958402623864	0.0407294584222077	0.639614074914869
GLM_RF_0.75_300_25_0.75_100	0.692387889642597	0.035357987462435	0.634506242905789
GLM_RF_0.75_500_5_0.5_100	0.696902641469076	0.0413930000652122	0.62253829321663
GLM_RF_0.75_500_5_0.75_100	0.692653786134531	0.0376825703759775	0.62372304199773
GLM_RF_0.75_500_10_0.5_100	0.698355091402668	0.0395310931390972	0.633371169125993
GLM_RF_0.75_500_10_0.75_100	0.693269762848483	0.0367772724086905	0.629965947786606
GLM_RF_0.75_500_25_0.5_100	0.697008671869308	0.0401129866739248	0.643583227445997
GLM_RF_0.75_500_25_0.75_100	0.692534178832725	0.0358072692321112	0.633418043202033
