mean_ci	sd_ci	min_ci
RF_GLM_100_5_0_0.5_100	0.69778454515321	0.040408818126689	0.634506242905789
RF_GLM_100_5_0_0.75_100	0.698434370731514	0.0411363924603952	0.630361173814898
RF_GLM_100_5_0.25_0.5_100	0.698347744281007	0.0409060724738853	0.636208853575482
RF_GLM_100_5_0.25_0.75_100	0.69841928823763	0.0421549776710454	0.625846501128668
RF_GLM_100_5_0.75_0.5_100	0.697504324437684	0.039987841973337	0.636004514672686
RF_GLM_100_5_0.75_0.75_100	0.698470042310506	0.0421126465021116	0.625282167042889
RF_GLM_100_10_0_0.5_100	0.700735333426544	0.0396123745657225	0.633747178329571
RF_GLM_100_10_0_0.75_100	0.702928146086068	0.0403922194008378	0.622460496613995
RF_GLM_100_10_0.25_0.5_100	0.700821490734966	0.0392023530640982	0.640519187358916
RF_GLM_100_10_0.25_0.75_100	0.702437953852459	0.0403495384360784	0.621896162528217
RF_GLM_100_10_0.75_0.5_100	0.698871985754869	0.03774151640719	0.640406607369759
RF_GLM_100_10_0.75_0.75_100	0.702497216550641	0.0405778016593989	0.623024830699774
RF_GLM_100_25_0_0.5_100	0.694233802867998	0.0392050328153277	0.633747178329571
RF_GLM_100_25_0_0.75_100	0.694780276467536	0.0408609452521609	0.613995485327314
RF_GLM_100_25_0.25_0.5_100	0.693225734532051	0.0396962233941969	0.63431151241535
RF_GLM_100_25_0.25_0.75_100	0.694508021314233	0.0405891704848011	0.61117381489842
RF_GLM_100_25_0.75_0.5_100	0.691988714593507	0.0386793306628627	0.63431151241535
RF_GLM_100_25_0.75_0.75_100	0.694147063480184	0.0403473991747005	0.612302483069977
RF_GLM_300_5_0_0.5_100	0.698320769839055	0.0396635035426049	0.626410835214447
RF_GLM_300_5_0_0.75_100	0.699843548185546	0.0407627297224361	0.618510158013544
RF_GLM_300_5_0.25_0.5_100	0.697281384890942	0.0406097249804631	0.624153498871332
RF_GLM_300_5_0.25_0.75_100	0.698831622618654	0.0409436401129025	0.619074492099323
RF_GLM_300_5_0.75_0.5_100	0.696534952702502	0.0399658516074911	0.622460496613995
RF_GLM_300_5_0.75_0.75_100	0.698505757357172	0.0412920965265076	0.619638826185102
RF_GLM_300_10_0_0.5_100	0.699096674423585	0.0406579716036504	0.636004514672686
RF_GLM_300_10_0_0.75_100	0.701459140483858	0.0400261503354429	0.632932166301969
RF_GLM_300_10_0.25_0.5_100	0.698151990441502	0.0394583052430955	0.63882618510158
RF_GLM_300_10_0.25_0.75_100	0.700998545285834	0.0413732869541173	0.628103837471783
RF_GLM_300_10_0.75_0.5_100	0.697619039035491	0.0397929816420256	0.63882618510158
RF_GLM_300_10_0.75_0.75_100	0.70029865761666	0.0412651051129209	0.628103837471783
RF_GLM_300_25_0_0.5_100	0.696998321347245	0.0413342742406733	0.633747178329571
RF_GLM_300_25_0_0.75_100	0.698383878374298	0.0421049011433753	0.619638826185102
RF_GLM_300_25_0.25_0.5_100	0.695619318175314	0.0402026516517082	0.637308533916849
RF_GLM_300_25_0.25_0.75_100	0.698373736034235	0.0435711356576273	0.619074492099323
RF_GLM_300_25_0.75_0.5_100	0.695204200104898	0.039764466567918	0.636568848758465
RF_GLM_300_25_0.75_0.75_100	0.697864212370893	0.0429576828970535	0.617945823927765
RF_GLM_500_5_0_0.5_100	0.699276149131555	0.040995277995959	0.626975169300226
RF_GLM_500_5_0_0.75_100	0.701266379485089	0.0414382025425631	0.618510158013544
RF_GLM_500_5_0.25_0.5_100	0.698849098796873	0.0406921212335902	0.619638826185102
RF_GLM_500_5_0.25_0.75_100	0.7006615729166	0.0419149491545626	0.617381489841986
RF_GLM_500_5_0.75_0.5_100	0.698555720123204	0.0404896007630895	0.621896162528217
RF_GLM_500_5_0.75_0.75_100	0.69976043693989	0.0417053043912738	0.615124153498871
RF_GLM_500_10_0_0.5_100	0.699519679018329	0.0410794763681792	0.633747178329571
RF_GLM_500_10_0_0.75_100	0.703066220315074	0.0417570945339939	0.62020316027088
RF_GLM_500_10_0.25_0.5_100	0.699513245261901	0.0404471898966447	0.632054176072235
RF_GLM_500_10_0.25_0.75_100	0.702088811721992	0.0428477888242634	0.614559819413093
RF_GLM_500_10_0.75_0.5_100	0.698786746104006	0.039931028615292	0.633182844243792
RF_GLM_500_10_0.75_0.75_100	0.701592150973495	0.0428101128601488	0.614559819413093
RF_GLM_500_25_0_0.5_100	0.696344583286903	0.0413742565194389	0.632054176072235
RF_GLM_500_25_0_0.75_100	0.697754660441501	0.0428971388852523	0.616817155756208
RF_GLM_500_25_0.25_0.5_100	0.695919745956814	0.0406639569235501	0.636004514672686
RF_GLM_500_25_0.25_0.75_100	0.697368586714563	0.0425093623921432	0.616817155756208
RF_GLM_500_25_0.75_0.5_100	0.694482297922438	0.0409891710383721	0.632618510158014
RF_GLM_500_25_0.75_0.75_100	0.697084104868433	0.0424638791171886	0.615124153498871
