mean_ci	sd_ci	min_ci
RF_RF_100_5_100_5_0.5_100	0.698997261489083	0.0436661963949962	0.61925601750547
RF_RF_100_5_100_5_0.75_100	0.700096839559831	0.0435555447066971	0.611738148984199
RF_RF_100_5_100_10_0.5_100	0.698705775744472	0.0431749193087297	0.607787810383747
RF_RF_100_5_100_10_0.75_100	0.699321411943801	0.0433630861062244	0.604966139954853
RF_RF_100_5_100_25_0.5_100	0.698231940383569	0.0414431201222185	0.617945823927765
RF_RF_100_5_100_25_0.75_100	0.69910544003871	0.0426039633683544	0.608916478555305
RF_RF_100_5_300_5_0.5_100	0.697122174423724	0.0423360242082919	0.62691466083151
RF_RF_100_5_300_5_0.75_100	0.699067275163748	0.0429167170584806	0.608916478555305
RF_RF_100_5_300_10_0.5_100	0.698520450822905	0.0421890481519527	0.621331828442438
RF_RF_100_5_300_10_0.75_100	0.700366013545758	0.0433113998087271	0.612866817155756
RF_RF_100_5_300_25_0.5_100	0.69561058935897	0.040161826288524	0.618510158013544
RF_RF_100_5_300_25_0.75_100	0.698261884487842	0.0423434055608263	0.610045146726862
RF_RF_100_5_500_5_0.5_100	0.69934553938491	0.0439600354502447	0.617614879649891
RF_RF_100_5_500_5_0.75_100	0.699538663738721	0.0428647994903156	0.612302483069977
RF_RF_100_5_500_10_0.5_100	0.699045852565472	0.0415485739728577	0.626410835214447
RF_RF_100_5_500_10_0.75_100	0.699361973054674	0.0426854979410011	0.611738148984199
RF_RF_100_5_500_25_0.5_100	0.697372652056312	0.0410303920476645	0.614559819413093
RF_RF_100_5_500_25_0.75_100	0.698724063928959	0.0432025167451374	0.610045146726862
RF_RF_100_10_100_5_0.5_100	0.702694546761432	0.0434624236674236	0.611597374179431
RF_RF_100_10_100_5_0.75_100	0.704181866340339	0.0430836447429066	0.61568848758465
RF_RF_100_10_100_10_0.5_100	0.701816541582427	0.0442866350629439	0.608916478555305
RF_RF_100_10_100_10_0.75_100	0.703691235293123	0.0426108773407895	0.615124153498871
RF_RF_100_10_100_25_0.5_100	0.700214401065122	0.0418906235320298	0.619638826185102
RF_RF_100_10_100_25_0.75_100	0.701691762050244	0.0441518636689117	0.61568848758465
RF_RF_100_10_300_5_0.5_100	0.699893856717	0.042252321382092	0.61925601750547
RF_RF_100_10_300_5_0.75_100	0.70320461589855	0.0421695708071672	0.617381489841986
RF_RF_100_10_300_10_0.5_100	0.70124454633012	0.0422269921377963	0.61925601750547
RF_RF_100_10_300_10_0.75_100	0.703671079819724	0.0427011630319004	0.617381489841986
RF_RF_100_10_300_25_0.5_100	0.698756810226679	0.0408963617510255	0.617381489841986
RF_RF_100_10_300_25_0.75_100	0.701165256947332	0.0433525983684285	0.614559819413093
RF_RF_100_10_500_5_0.5_100	0.701638266845365	0.045169001723687	0.612691466083151
RF_RF_100_10_500_5_0.75_100	0.704902977950713	0.0425072988569694	0.61568848758465
RF_RF_100_10_500_10_0.5_100	0.70236976429442	0.0436474445120415	0.613238512035011
RF_RF_100_10_500_10_0.75_100	0.703943353427987	0.0426477656269391	0.617381489841986
RF_RF_100_10_500_25_0.5_100	0.699365936403557	0.0425624082402858	0.613431151241535
RF_RF_100_10_500_25_0.75_100	0.702278747345372	0.043088640003788	0.611738148984199
RF_RF_100_25_100_5_0.5_100	0.697858651427892	0.0429107497526536	0.615426695842451
RF_RF_100_25_100_5_0.75_100	0.696876452101675	0.041453889013755	0.616252821670429
RF_RF_100_25_100_10_0.5_100	0.694638538060779	0.0433127644649769	0.61117381489842
RF_RF_100_25_100_10_0.75_100	0.695101664817044	0.0408208470034573	0.603273137697517
RF_RF_100_25_100_25_0.5_100	0.693052229974637	0.0389614289216677	0.617945823927765
RF_RF_100_25_100_25_0.75_100	0.693359596113137	0.0402693598436719	0.610045146726862
RF_RF_100_25_300_5_0.5_100	0.694947392778334	0.0430905770960463	0.613238512035011
RF_RF_100_25_300_5_0.75_100	0.69563737641269	0.0409481343840271	0.611738148984199
RF_RF_100_25_300_10_0.5_100	0.695632738025455	0.0410204123057803	0.62144420131291
RF_RF_100_25_300_10_0.75_100	0.695753802531699	0.0411648501451025	0.611738148984199
RF_RF_100_25_300_25_0.5_100	0.692984776057559	0.0398051877879956	0.619638826185102
RF_RF_100_25_300_25_0.75_100	0.694608282459238	0.0403051240918605	0.612302483069977
RF_RF_100_25_500_5_0.5_100	0.695140879775725	0.0441789892267139	0.614332603938731
RF_RF_100_25_500_5_0.75_100	0.696147258705376	0.0412157952906492	0.611738148984199
RF_RF_100_25_500_10_0.5_100	0.695680977614479	0.0420665829745319	0.62035010940919
RF_RF_100_25_500_10_0.75_100	0.695598096755174	0.040890907708212	0.610609480812641
RF_RF_100_25_500_25_0.5_100	0.693806490658667	0.0417316372054258	0.614559819413093
RF_RF_100_25_500_25_0.75_100	0.694888839782924	0.0407506400724271	0.610045146726862
RF_RF_300_5_100_5_0.5_100	0.699007597871927	0.0434031200675673	0.609409190371991
RF_RF_300_5_100_5_0.75_100	0.70111362416531	0.0420046814536631	0.608916478555305
RF_RF_300_5_100_10_0.5_100	0.700642411589622	0.0429107936245054	0.609480812641084
RF_RF_300_5_100_10_0.75_100	0.699706327547626	0.0424915451049068	0.602708803611738
RF_RF_300_5_100_25_0.5_100	0.697348038855317	0.0413121176955716	0.61568848758465
RF_RF_300_5_100_25_0.75_100	0.698997726433314	0.0418558787938788	0.604966139954853
RF_RF_300_5_300_5_0.5_100	0.697177574161137	0.0441301285669232	0.607221006564551
RF_RF_300_5_300_5_0.75_100	0.700404726338429	0.0412136697647138	0.61117381489842
RF_RF_300_5_300_10_0.5_100	0.698289984900559	0.0418410032541116	0.617945823927765
RF_RF_300_5_300_10_0.75_100	0.699587361405532	0.0417163109189512	0.608352144469526
RF_RF_300_5_300_25_0.5_100	0.697704051169961	0.0417652196520676	0.612302483069977
RF_RF_300_5_300_25_0.75_100	0.698796384657277	0.0424224757897825	0.604966139954853
RF_RF_300_5_500_5_0.5_100	0.698268570211553	0.045226320624687	0.607221006564551
RF_RF_300_5_500_5_0.75_100	0.700231262096385	0.0415272767337992	0.608916478555305
RF_RF_300_5_500_10_0.5_100	0.699682912471433	0.0420429763174605	0.61568848758465
RF_RF_300_5_500_10_0.75_100	0.699869924620328	0.0421928922251406	0.609480812641084
RF_RF_300_5_500_25_0.5_100	0.698235800762285	0.0417182349549273	0.610609480812641
RF_RF_300_5_500_25_0.75_100	0.699044514283429	0.0423546331527873	0.602708803611738
RF_RF_300_10_100_5_0.5_100	0.700743505753849	0.0448754945883802	0.602844638949672
RF_RF_300_10_100_5_0.75_100	0.702331146028741	0.042085625403485	0.617614879649891
RF_RF_300_10_100_10_0.5_100	0.70015876502509	0.0437574437450281	0.613995485327314
