"type"	"name"	"value"
"numerical"	"ageAtDiagnosis"	62
"numerical"	"timeOfSampleCollectionRelativeToInclusion"	0
"numerical"	"X..Blasts.in.PB"	45
"numerical"	"WBC.Count"	24.85
"numerical"	"ageAtSpecimenAcquisition"	62
"categorical"	"priorMalignancyNonMyeloid"	0
"categorical"	"priorMalignancyType"	0
"categorical"	"priorMalignancyRadiationTx"	0
"categorical"	"priorMDS"	0
"categorical"	"priorMDSMoreThanTwoMths"	0
"categorical"	"priorMDSMPN"	0
"categorical"	"priorMDSMPNMoreThanTwoMths"	0
"categorical"	"priorMPN"	0
"categorical"	"priorMPNMoreThanTwoMths"	0
"categorical"	"dxAtInclusion"	0
"categorical"	"specificDxAtInclusion"	5
"categorical"	"dxAtSpecimenAcquisition"	0
"categorical"	"specificDxAtAcquisition"	5
"categorical"	"specimenType"	0
"categorical"	"consensus_sex"	1
"categorical"	"FAB.Blast.Morphology"	0
"categorical"	"Karyotype"	5
"categorical"	"FLT3.ITD"	0
"categorical"	"NPM1"	0
"categorical"	"finalFusion"	4
"categorical"	"priorMalignancyMyeloid"	0
